id,likesCount,owner/is_mentionable,owner/is_private,owner/is_verified,repliesCount,text,timestamp
18297038170169109,4,FALSE,TRUE,FALSE,0,Protest??? Deport this person to whatever country his 1000 years grandparents were from,2025-04-16T01:30:35.000Z
17847543459450076,0,TRUE,TRUE,FALSE,0,This is protesting for an actual problem.,2025-04-16T04:29:58.000Z
18019627253701886,0,TRUE,FALSE,FALSE,0,Lolol where's the word salad from biden???? @cnn,2025-04-16T02:18:23.000Z
18075892216758601,0,TRUE,FALSE,FALSE,1,"You posted this one before. Don’t you see what is happening NOW? The present administration is doing things that are stupidly wrong, like DEI removing Jackie Robinson’s military career from the Pentagon’s website. They put it back after numerous complaints, BUT IT SHOULDN’T HAVE BEEN REMOVED IN THE FIRST PLACE.  The administration is also ignoring the other two branches of government. The executive branch is only in control of SOME things, not ALL. Why don’t you talk about that???",2025-04-16T01:27:20.000Z
18064297834994303,1,TRUE,FALSE,FALSE,0,What a wonderful intellectual perspective on the greatest sport!  Thank you! 🙏,2025-04-16T03:53:29.000Z
18174532291323651,0,TRUE,FALSE,FALSE,1,And most of PragerU and their audience wishes it never happened,2025-04-16T00:55:44.000Z
17848756455417393,2,TRUE,TRUE,FALSE,0,I love this video! Well done.,2025-04-16T00:57:04.000Z
18091458118574217,1,TRUE,TRUE,FALSE,0,We want Bud Selig back. #firemanfred,2025-04-16T06:01:24.000Z
17880124299184683,0,FALSE,TRUE,FALSE,0,Why are you using this never-Trumper in your promotions. Unfollowed!,2025-04-16T09:44:57.000Z
18006997712568094,2,TRUE,TRUE,FALSE,0,Swing and a miss putting George Will on. I guess they can’t all be home runs,2025-04-16T00:56:56.000Z
18062648066106074,0,TRUE,FALSE,FALSE,0,Wouldn't this be too woke for you people? I mean everything black people do is woke and should be ignored?,2025-04-16T03:00:22.000Z
18502351951037023,3,FALSE,TRUE,FALSE,0,Wrong. Constitutional republic.,2025-04-16T00:47:53.000Z
18044689691527202,4,TRUE,TRUE,FALSE,0,What a great video! Thank you for sharing this under appreciated bit of Americana,2025-04-16T00:54:50.000Z
18131402968412960,0,TRUE,FALSE,FALSE,0,Dang it. We don’t live in a democracy!!! Come on @prageru,2025-04-16T04:07:19.000Z
18006535573596813,10,TRUE,TRUE,FALSE,3,What size did you used for the mason jars? Looks amazing!,2023-03-06T20:21:34.000Z
18059456786037024,0,FALSE,FALSE,FALSE,0,,2025-03-31T04:14:52.000Z
17889172050226782,0,TRUE,FALSE,FALSE,0,Mmmmmm I love chicken tacos,2025-03-30T23:15:11.000Z
18305260852228653,0,TRUE,FALSE,FALSE,0,,2025-03-18T21:01:11.000Z
18143995180375652,0,TRUE,FALSE,FALSE,0,,2025-03-18T21:01:09.000Z
18062048515797867,0,TRUE,TRUE,FALSE,0,,2025-03-05T20:35:58.000Z
17931566805006380,0,TRUE,FALSE,FALSE,0,🥩🥩🥩🥩🥩🥩🍗🍗🍗🍗🍗🍖🍖🍖🍳🍳🍳🍳🍳🍳🍖🍖,2025-03-05T05:50:16.000Z
18052680443326278,0,FALSE,TRUE,FALSE,0,🍗🍖🥩🥓🍔🌭,2025-03-04T23:38:40.000Z
18057952048849750,0,FALSE,TRUE,FALSE,0,,2025-02-25T01:34:06.000Z
18056186039289117,1,TRUE,FALSE,FALSE,0,,2025-02-19T00:21:31.000Z
18443231596077563,0,TRUE,FALSE,TRUE,0,🔥,2025-02-15T04:01:14.000Z
18037604840163008,0,TRUE,FALSE,FALSE,0,How do I buy the book,2025-02-09T04:32:17.000Z
17956088522879291,1,TRUE,TRUE,FALSE,0,,2025-02-08T22:57:57.000Z
18153371383346027,0,TRUE,FALSE,FALSE,0,🙌😍,2025-02-08T14:59:50.000Z
18051977177255745,7,TRUE,FALSE,FALSE,0,Is Kilmar included in that stat??? Asking for the non-fascist friends.,2025-04-15T23:17:19.000Z
18044963846129955,231,TRUE,FALSE,FALSE,3,Allegedly...368... As in it's surely MORE and many are unaccounted for,2025-04-15T23:03:08.000Z
18054235457233219,3,TRUE,FALSE,FALSE,0,Died or murdered?,2025-04-15T23:50:42.000Z
18275655466264447,16,TRUE,FALSE,FALSE,3,"I would bet it’s much, much higher than 368!",2025-04-15T23:15:38.000Z
18048919127254115,4,FALSE,TRUE,FALSE,0,It’s a ☠️ camp not a prison,2025-04-15T23:22:52.000Z
17981459399819564,22,FALSE,FALSE,FALSE,13,I’m sorry did you just say Kilmar Garcia is dead?,2025-04-15T23:17:44.000Z
17979083735692072,13,TRUE,FALSE,FALSE,4,God will have his vengeance,2025-04-15T23:17:42.000Z
18061269401016941,83,FALSE,TRUE,FALSE,2,I think we all know this number is being underreported. Like homelessness in the US is too for example…,2025-04-15T23:12:46.000Z
18090047704588660,1,TRUE,TRUE,FALSE,0,Where’s all lives matter ??,2025-04-16T00:56:40.000Z
18066043930809226,44,TRUE,TRUE,FALSE,1,This is a concentration camp,2025-04-15T23:17:22.000Z
18068343587306868,14,TRUE,TRUE,FALSE,17,Here's an idea... how about don't commit crimes...?,2025-04-15T23:26:55.000Z
17899639800174640,6,TRUE,TRUE,FALSE,7,How many people would be dead if yhey were not locked?,2025-04-15T23:09:04.000Z
18043610630436785,175,TRUE,FALSE,FALSE,6,"Harris warned us ALL. America is officially, dead. Downfall continues.",2025-04-15T23:02:02.000Z
17953010027807837,16,TRUE,FALSE,FALSE,2,75% of people deported there have no criminal record,2025-04-16T00:19:35.000Z
18389822953119502,0,TRUE,TRUE,FALSE,1,El Salvador should fix that asap,2025-04-15T23:24:13.000Z
17920663730933535,118056,FALSE,TRUE,FALSE,71,"Remember kids. Shop local, steal corporate! 🥸☝️",2024-07-16T03:15:56.000Z
18386797648106473,1,TRUE,FALSE,FALSE,1,I didn’t finish watching this. I’m positive that he’s a hero!!,2025-02-01T16:32:57.000Z
17995033337546102,5,FALSE,TRUE,FALSE,0,😂😂😂😂😂👏👏👏👏👏,2024-11-10T21:20:07.000Z
18027363341277744,1644,TRUE,TRUE,FALSE,6,My main takeaway: Amazon sells tarmac?!? 🤣🤣🤣,2024-07-11T17:35:44.000Z
17916294632950751,3,FALSE,FALSE,FALSE,0,🔥🔥,2024-07-12T10:03:01.000Z
18383560087128441,3,TRUE,TRUE,FALSE,0,Brilliant!! Keep going!!😂,2025-01-05T14:56:31.000Z
18075893788526825,23,TRUE,TRUE,FALSE,1,Is it an Amazon product or is it from an Amazon seller?,2024-08-25T14:46:47.000Z
18040859783113693,7,TRUE,TRUE,FALSE,1,When did sand cost hundreds of pounds?,2024-10-04T15:18:23.000Z
17936463806854070,4,TRUE,TRUE,FALSE,0,legend,2024-07-11T17:08:03.000Z
18005007353446431,7,TRUE,FALSE,FALSE,0,Good,2024-08-30T12:07:21.000Z
18010970477303043,22,TRUE,TRUE,FALSE,8,Wouldn't this be textbook fraud though?,2024-07-15T06:10:50.000Z
18026207867470102,7176,FALSE,TRUE,FALSE,652,Even if you don’t like Amazon- Stealing is stealing.,2024-07-11T16:55:55.000Z
18031651313285019,9,TRUE,FALSE,FALSE,0,This is so sick.  I'm so proud of you.  Absolutely killing it,2024-07-11T17:19:30.000Z
18063450373590911,3,TRUE,FALSE,FALSE,0,😂😂😂😂,2024-07-15T06:13:56.000Z
17862225543309818,4,TRUE,TRUE,FALSE,0,Based,2025-01-01T13:25:36.000Z
18025705163438166,0,TRUE,FALSE,TRUE,0,Sounds awesome,2025-04-11T15:59:10.000Z
17943795593868111,0,TRUE,FALSE,FALSE,0,Love adding this to smoothies! So creamy and delicious!,2025-04-11T18:15:47.000Z
18067269667767946,0,TRUE,FALSE,FALSE,0,I make thiccccc smoothie bowls to start my day. Also protein muffins with almond flour!,2025-04-11T22:36:59.000Z
18265031812276384,0,TRUE,FALSE,FALSE,0,😂😂🙌,2025-04-11T16:38:45.000Z
18057625540916813,1,FALSE,TRUE,FALSE,0,my fav plant-based protein is seitan. i make it every week and it’s the highest source of protein i get in my day,2025-04-11T16:09:02.000Z
17948562767952268,0,TRUE,FALSE,FALSE,0,Vegan protein pancakes 🥞,2025-04-12T01:56:56.000Z
18067316500755036,2,TRUE,FALSE,FALSE,0,Love adding @nbpure protein powder to zucchini muffins! (Recipe at worldofvegan.com) 😍,2025-04-11T16:06:13.000Z
17962909907762916,0,TRUE,TRUE,FALSE,0,In a nutritious smoothie! 😍,2025-04-11T20:31:31.000Z
18057371762150684,0,TRUE,FALSE,FALSE,0,😻😻😻,2025-04-11T16:06:48.000Z
18133115413405497,0,TRUE,FALSE,FALSE,0,Smoothie!,2025-04-11T18:37:22.000Z
18064738564820453,0,TRUE,FALSE,FALSE,0,I love a tofu scramble!,2025-04-11T16:10:32.000Z
18303932833240401,1,TRUE,FALSE,FALSE,0,We LOVE🙌🙌🙌,2025-04-11T16:05:59.000Z
18020933165495821,0,TRUE,FALSE,FALSE,0,This is so stinking cute!,2025-04-11T21:18:36.000Z
17916017934087260,0,TRUE,FALSE,FALSE,0,In a smoothie,2025-04-11T15:59:51.000Z
18127218298424834,0,TRUE,FALSE,FALSE,0,A fantastic plant protein powder!! Love @nbpure 🤩💙💜💚,2025-04-11T17:41:27.000Z
17885803029254284,1,TRUE,TRUE,FALSE,0,👏👏👏👏👏,2025-04-16T00:53:24.000Z
18337430671088820,2,TRUE,TRUE,FALSE,0,👏👏👏,2025-04-16T00:14:35.000Z
18336582319090345,22,TRUE,TRUE,FALSE,0,Nice work Philly!,2025-04-16T01:16:38.000Z
