authorMeta/fans,authorMeta/following,authorMeta/verified,authorMeta/video,commentCount,createTimeISO,diggCount,playCount,shareCount,text,videoMeta/duration
310600,49,FALSE,1459,7169,2022-07-04T17:52:21.000Z,1300000,8800000,4557,#pelicula #maxsteel #movie #parati #foryoupage #2022 #viral #edit #clips #bestvideo #fans #pyp #fyyyyyyyyyyyyyyyy #lenteja #viraltiktok #clip #matel #peliculaedit,49
425700,5,FALSE,673,1922,2021-10-25T10:55:00.000Z,1300000,26300000,1536,#comedy #bestvideo #1000000,60
4200000,4,FALSE,197,1395,2021-05-18T11:42:40.000Z,1200000,9600000,2563,Makna senioritas (part 2) @babymaemei #inspirasi #motivasi #kebaikan #drama #viral #trending #ootd#fyp #fypbali #fypシ  #hiburan #bestvideo,78
293300,9,FALSE,48,5673,2022-06-08T08:42:38.000Z,1200000,40200000,14200,#comedy #bestvideo #viral,60
241900,3734,FALSE,145,56700,2022-04-08T10:13:33.000Z,5800000,47300000,200700,comell #tiktokmalaysia #cutegirl #fyp,49
709100,49,FALSE,131,32100,2020-10-04T14:50:30.000Z,3200000,21400000,33900,If I m a boy #cutegirl,8
2100000,306,FALSE,148,11300,2021-08-04T22:23:59.000Z,3100000,15000000,11700,« You scared me » she’s so cute ❤️ #xyzbca #foryou #dobby #cutegirl,9
246300,17,FALSE,85,6949,2020-01-19T18:17:45.000Z,2400000,18800000,37300,First steps  #läuft #cutegirl #mygirl #fatheranddaughter #fürdich #sweetbaby,15
2000000,83,FALSE,91,8869,2022-06-22T23:46:50.000Z,2400000,47100000,71600,Difícil de disimular  #viral #cutegirl #model #challenge #workout #gym #tiktoker #personaltrainer #sportwear,15
533200,7,FALSE,111,4961,2022-05-09T16:23:41.000Z,2400000,19900000,10700,@junyaoliu0902 She's saying hi to you! That's too cute#motogirl #foryou #fyp #cutegirl,8
143500,441,FALSE,99,19500,2021-01-24T08:24:16.000Z,2100000,21400000,67000,My baby’s reaction for her birthday was the best thing ever  #babiesoftiktok #baby #mumsontiktok #momsoftiktok #cutegirl #1stbirthday #toddler,17
2000000,83,FALSE,91,4592,2022-06-26T20:55:01.000Z,1900000,31400000,19700,"Algunos no lo notaron, felices los que si  #viral #cutegirl #model #tiktoker #challenge #workout  #personaltrainer #gym",8
3300000,2,FALSE,161,14200,2022-01-13T22:15:51.000Z,1900000,36100000,36200,¿Suelto o apretado?  #cutegirl #shootingday #challenge #model #bikinimodel #photoshoot #modeling,11
3300000,2,FALSE,161,15900,2022-04-07T01:44:47.000Z,1700000,34700000,66700,Wait for it  #viral #cutegirl #gym #workout #challenge #model #fitness,17
314800,9970,FALSE,654,3031,2022-02-06T23:58:40.000Z,1700000,13800000,1566,grabe Naman yan#cutegirl #hacker #renztzy55 #renztzy55preset #team #xyzbca #foryou,24
1900000,288,FALSE,1190,0,2020-07-10T01:27:11.000Z,1700000,22000000,42200,Sorry mama #Fyp  #cutegirl #sorrymama,31
43500,31,FALSE,9,8341,2020-06-08T10:29:33.000Z,1600000,5800000,28900,#puppylove #cutegirl #comfy,9
3300000,2,FALSE,161,11500,2021-08-11T00:03:00.000Z,1600000,42600000,77200,Alucinantes fotos juntas en nuestros Insta  @julicuencaa #cutegirl #bikinimodel #bikini #photoshoot,9
4200000,207,TRUE,671,9311,2020-10-02T10:59:42.000Z,1300000,10900000,15700,Возьмёшь меня в свою группу поддержки?  Ютуб: Kawaii Fox костюм @dollskill  #чирлидинг #cheerleader #dance #dancer #dancegirl #cutegirl #танцы,15
3300000,2,FALSE,161,10200,2022-06-10T21:04:27.000Z,1200000,21300000,6047,¿Cuántos contaron?  #viral #cutegirl #model #challenge #tiktoker #traveling,21
27900,1118,FALSE,356,12800,2021-02-27T18:47:55.000Z,1200000,8500000,30000,@lindsarnold #lindsayarnold #dwts #foryoupage #sagejillcusick #babycusick #baby #babygirl #3montholdbaby #cute #cutegirl #cutebaby,12
7900000,101,TRUE,2035,1369,2020-02-07T12:04:58.000Z,1200000,28100000,4639,Beautiful #Kareenakapoor snapped after salon session. #mumbai #stargazing #beautifulgirl #cutegirl,14
76500,88,FALSE,40,7552,2022-07-25T06:57:43.000Z,1200000,9800000,3231,Pelukan mamah adalah pelukan yang paling tulus dan hangat  #sleep #cutesleep #streetfotography #matirnomatters #fotokeluarga #fotodedetidur #citayemfashionweek #citayam #citayamfashionweek #bnicity #bni #sudirman #scbdfashionweek #scbd #jakarta #indonesia #mesuji #mesujilampung #matir #cutegirl,86
3300000,2,FALSE,161,8964,2021-11-23T20:24:37.000Z,1200000,31000000,17400,¿Cuantos puntitos negros viste?  #shooting #model #cutegirl #glasses,6
673600,11,FALSE,571,7006,2021-10-03T19:30:00.000Z,3600000,82900000,8878,#bestvideo #tiktok4fun #thisis4u #loveyoutiktok,60
278300,57,FALSE,109,53500,2022-04-08T16:32:15.000Z,1500000,43200000,215600,I can never un-see this. #BigComfy #EasyWithAdobeExpress #fyp #viral #tiktok4fun #bestvideo #tiktok #reels #funny #chicken #egg #easter,13
159200,395,FALSE,13,18000,2022-01-05T19:10:48.000Z,1100000,23300000,49300,Noticed people raving over this skill I created a while ago. My foot goes all the way through w/o touching. Haven’t seen a single person do it correctly yet.  #foryoupage #tiktok #fyp #love #foryou #funny #memes #followme #cute #music #happy #fashion #follow #comedy #bestvideo #tiktok4fun #viral,6
241000,0,FALSE,19,2458,2021-08-05T19:19:07.000Z,972600,24700000,17300,#tiktok #foryoupage #fyp #foryou #viral #love #funny #memes #followme #cute #fun #music #happy #fashion #follow #comedy #bestvideo #tiktok4fun #thisis,12
89700,15,FALSE,65,10200,2021-10-22T15:23:37.000Z,895700,5900000,65900,#tiktok#foryoupage#fyp#foryou#viral#love#funny#memes#followme#cute#fun#music#happy#fashion#follow#comedy#bestvideo#tiktok4fun,5
278300,57,FALSE,109,2348,2021-05-04T18:13:54.000Z,870100,10900000,3833,Part 1 FOLLOW ME FOR MORE #IFeelWeightless #ChipsGotTalent #viral #bestvideo #funny #challange #tiktok4fun #tiktok #foryou,29
89700,15,FALSE,65,7225,2022-02-26T20:00:07.000Z,820600,3300000,50700,#tiktok #foryoupage #fyp #foryou #viral #love #funny #memes #followme #cute #fun #music #follow #comedy #bestvideo #tiktok4fun,166
