authorMeta/fans,authorMeta/following,authorMeta/verified,authorMeta/video,commentCount,createTimeISO,diggCount,playCount,shareCount,text,videoMeta/duration,clean_text,us_count,them_count,negation_count,intensifier_count,hedge_count,is_polarized
1300000,977,False,597,231900,2021-12-29T19:01:04.000Z,13400000,109800000,397600,#comedy #whatmademeviral #whatmadeyoufamous #blowthisup #dontletthisflop #enablednotdisabled #boxing #trainliketrent #areyounewhere #ohno #andaweeee,8,#comedy #whatmademeviral #whatmadeyoufamous #blowthisup #dontletthisflop #enablednotdisabled #boxing #trainliketrent #areyounewhere #ohno #andaweeee,0,0,0,0,0,False
4700000,224,False,809,131800,2021-05-19T20:59:19.000Z,13400000,86300000,552000,Dustin made a new friend shheeEeEEEEE #fyp #4u #comedy #kidsbelike,32,Dustin made a new friend shheeEeEEEEE #fyp #4u #comedy #kidsbelike,0,0,0,0,0,False
4000000,124,True,83,123600,2020-08-26T00:41:34.000Z,13200000,64200000,388200,So yall just thought I didn’t have a mom? #comedy #africanparents #viral #fyp,31,So yall just thought I didn’t have a mom? #comedy #africanparents #viral #fyp,0,0,1,1,1,False
55000000,8858,True,1310,15600,2020-01-28T06:15:15.000Z,12700000,146800000,72100,Pranked my barber today  #trend #comedy #prank,11,Pranked my barber today #trend #comedy #prank,0,0,0,0,0,False
6900000,69,True,85,82500,2022-01-05T20:44:47.000Z,12500000,73000000,412600,Welcome to the mouth #comedy #fyp,39,Welcome to the mouth #comedy #fyp,0,0,0,0,0,False
1600000,5,False,358,122800,2022-02-07T19:33:13.000Z,12600000,73400000,1000000,Still gets me every time #gheefunny #mcdonaldshacks #fyp #foryoupage #DIYwithBlock #foryou #viral #famous #funny #comedy #hilarious #fy #fypシ #share,42,Still gets me every time #gheefunny #mcdonaldshacks #fyp #foryoupage #DIYwithBlock #foryou #viral #famous #funny #comedy #hilarious #fy #fypシ #share,0,0,0,0,0,False
5400000,3132,False,571,140600,2021-07-11T18:54:31.000Z,12200000,57600000,280500,#distorted #grandpa #cool #grandma #comedy #foryou #fypisbroken #DontSpillChallenge,8,#distorted #grandpa #cool #grandma #comedy #foryou #fypisbroken #DontSpillChallenge,0,0,0,0,0,False
5800000,2775,True,670,100900,2019-03-01T04:48:20.000Z,11600000,149500000,1200000,Teaching Granny Meme Songs  #foryou #comedy #dametucosita #fox #gmoney #music #meme #lol,13,Teaching Granny Meme Songs #foryou #comedy #dametucosita #fox #gmoney #music #meme #lol,0,0,0,0,0,False
55000000,8858,True,1310,20500,2020-01-02T06:56:33.000Z,11400000,105800000,67500,Head hitting beatbox prank  Got them good  @jonklaasen @elyssajoy_ #beatbox #comedy #prank,9,Head hitting beatbox prank Got them good @jonklaasen @elyssajoy_ #beatbox #comedy #prank,0,1,0,0,0,False
104200,495,False,65,105900,2022-03-02T14:19:53.000Z,12400000,53200000,226300,NERF GUN!!!! #funny #choir #singing #comedy,11,NERF GUN!!!! #funny #choir #singing #comedy,0,0,0,0,0,False
